Channels in measurement: A, B
General Device configurations:
Number of runs	1	Threshold voltage	1.0
Channel A:	Average cycles	1	number of stops	1	stop mask	0	mode	2	stop edge	RISE	start edge	RISE
Channel B:	Average cycles	1	number of stops	1	stop mask	0	mode	2	stop edge	RISE	start edge	RISE


Start Time (YY:MM:DD:HH:MM:SS)	Stop Time (ps)	Channel
2025-09-11 18:39:36.538173	110118681	A
2025-09-11 18:39:36.538173	210219247	B
2025-09-11 18:39:36.542397	110118680	A
2025-09-11 18:39:36.542397	210219311	B
2025-09-11 18:39:36.546622	110118742	A
2025-09-11 18:39:36.546622	210219370	B
2025-09-11 18:39:36.550847	110116870	A
2025-09-11 18:39:36.550847	210217646	B
2025-09-11 18:39:36.555070	110118802	A
2025-09-11 18:39:36.555070	210219450	B
2025-09-11 18:39:36.559294	110118684	A
2025-09-11 18:39:36.559294	210219307	B
2025-09-11 18:39:36.563519	110118624	A
2025-09-11 18:39:36.563519	210219304	B
2025-09-11 18:39:36.567744	110118681	A
2025-09-11 18:39:36.567744	210220866	B
2025-09-11 18:39:36.571967	110118564	A
2025-09-11 18:39:36.571967	210219377	B
2025-09-11 18:39:36.576192	110118682	A
2025-09-11 18:39:36.576192	210219367	B
2025-09-11 18:39:36.580416	110118744	A
2025-09-11 18:39:36.580416	210219311	B
2025-09-11 18:39:36.584641	110118803	A
2025-09-11 18:39:36.584641	210219387	B
2025-09-11 18:39:36.588866	110116993	A
2025-09-11 18:39:36.588866	210217841	B
2025-09-11 18:39:36.593089	110118739	A
2025-09-11 18:39:36.593089	210219370	B
2025-09-11 18:39:36.597314	110118740	A
2025-09-11 18:39:36.597314	210219314	B
2025-09-11 18:39:36.601538	110118692	A
2025-09-11 18:39:36.601538	210219251	B
2025-09-11 18:39:36.605763	110118617	A
2025-09-11 18:39:36.605763	210220932	B
2025-09-11 18:39:36.609986	110118738	A
2025-09-11 18:39:36.609986	210219436	B
2025-09-11 18:39:36.614211	110118799	A
2025-09-11 18:39:36.614211	210219424	B
2025-09-11 18:39:36.618435	110118802	A
2025-09-11 18:39:36.618435	210219370	B
2025-09-11 18:39:36.622660	110118567	A
2025-09-11 18:39:36.622660	210219324	B
2025-09-11 18:39:36.626885	110117100	A
2025-09-11 18:39:36.626885	210217709	B
2025-09-11 18:39:36.631108	110118744	A
2025-09-11 18:39:36.631108	210219527	B
2025-09-11 18:39:36.635333	110118745	A
2025-09-11 18:39:36.635333	210219307	B
2025-09-11 18:39:36.639557	110118679	A
2025-09-11 18:39:36.639557	210219450	B
2025-09-11 18:39:36.643782	110118738	A
2025-09-11 18:39:36.643782	210221224	B
2025-09-11 18:39:36.648005	110118801	A
2025-09-11 18:39:36.648005	210219433	B
2025-09-11 18:39:36.652230	110118680	A
2025-09-11 18:39:36.652230	210219298	B
2025-09-11 18:39:36.656455	110118741	A
2025-09-11 18:39:36.656455	210219479	B
2025-09-11 18:39:36.660679	110118741	A
2025-09-11 18:39:36.660679	210219503	B
2025-09-11 18:39:36.664904	110116989	A
2025-09-11 18:39:36.664904	210217642	B
2025-09-11 18:39:36.669127	110118737	A
2025-09-11 18:39:36.669127	210219343	B
2025-09-11 18:39:36.673352	110118686	A
2025-09-11 18:39:36.673352	210219411	B
2025-09-11 18:39:36.677576	110118860	A
2025-09-11 18:39:36.677576	210219510	B
2025-09-11 18:39:36.681801	110118797	A
2025-09-11 18:39:36.681801	210220944	B
2025-09-11 18:39:36.686024	110118974	A
2025-09-11 18:39:36.686024	210219499	B
2025-09-11 18:39:36.690249	110118744	A
2025-09-11 18:39:36.690249	210219367	B
2025-09-11 18:39:36.694474	110118509	A
2025-09-11 18:39:36.694474	210219320	B
2025-09-11 18:39:36.698698	110118917	A
2025-09-11 18:39:36.698698	210219380	B
2025-09-11 18:39:36.702923	110123713	A
2025-09-11 18:39:36.702923	210224272	B
2025-09-11 18:39:36.707146	110118732	A
2025-09-11 18:39:36.707146	210219394	B
2025-09-11 18:39:36.711371	110118631	A
2025-09-11 18:39:36.711371	210219377	B
2025-09-11 18:39:36.715596	110118680	A
2025-09-11 18:39:36.715596	210219264	B
2025-09-11 18:39:36.719820	110117045	A
2025-09-11 18:39:36.719820	210217509	B
2025-09-11 18:39:36.724043	110118800	A
2025-09-11 18:39:36.724043	210219440	B
2025-09-11 18:39:36.728268	110118744	A
2025-09-11 18:39:36.728268	210219363	B
2025-09-11 18:39:36.732493	110118799	A
2025-09-11 18:39:36.732493	210219430	B
2025-09-11 18:39:36.736717	110118799	A
2025-09-11 18:39:36.736717	210222711	B
2025-09-11 18:39:36.740942	110118750	A
2025-09-11 18:39:36.740942	210219443	B
2025-09-11 18:39:36.745165	110118800	A
2025-09-11 18:39:36.745165	210219317	B
2025-09-11 18:39:36.749390	110118564	A
